                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.03151,                0.99357,                0.99994,                 2.6894,              0.0033326,              0.0033326,              0.0033326
                      2,                0.12507,                0.98207,                0.99977,                 2.7085,              0.0066439,              0.0066439,              0.0066439
                      3,                0.34383,                0.96375,                0.99966,                 2.7392,              0.0099332,              0.0099332,              0.0099332
                      4,                0.48508,                0.96813,                0.99954,                 2.7319,               0.009901,               0.009901,               0.009901
                      5,                0.40686,                0.97593,                0.99983,                 2.7215,               0.009868,               0.009868,               0.009868
                      6,                 0.3552,                0.97911,                0.99977,                 2.7161,               0.009835,               0.009835,               0.009835
                      7,                0.33215,                0.98179,                0.99989,                 2.7111,               0.009802,               0.009802,               0.009802
                      8,                0.31961,                 0.9835,                0.99983,                  2.708,               0.009769,               0.009769,               0.009769
                      9,                 0.3106,                0.98606,                0.99983,                 2.7057,               0.009736,               0.009736,               0.009736
                     10,                0.30981,                0.98691,                0.99994,                 2.7045,               0.009703,               0.009703,               0.009703
                     11,                0.29981,                0.98714,                0.99994,                 2.7038,                0.00967,                0.00967,                0.00967
                     12,                0.29449,                0.98737,                0.99994,                 2.7026,               0.009637,               0.009637,               0.009637
                     13,                0.29327,                0.98839,                0.99994,                 2.7023,               0.009604,               0.009604,               0.009604
                     14,                0.29619,                0.98828,                0.99989,                 2.7022,               0.009571,               0.009571,               0.009571
                     15,                0.29144,                0.98811,                0.99994,                  2.702,               0.009538,               0.009538,               0.009538
                     16,                0.28699,                0.98845,                0.99994,                 2.7018,               0.009505,               0.009505,               0.009505
                     17,                0.29007,                0.98839,                0.99994,                 2.7018,               0.009472,               0.009472,               0.009472
                     18,                0.28457,                 0.9885,                0.99989,                 2.7017,               0.009439,               0.009439,               0.009439
                     19,                0.28553,                0.98885,                0.99989,                 2.7017,               0.009406,               0.009406,               0.009406
                     20,                0.28383,                0.98907,                0.99989,                 2.7016,               0.009373,               0.009373,               0.009373
                     21,                0.28032,                0.98919,                0.99989,                 2.7015,                0.00934,                0.00934,                0.00934
                     22,                0.28438,                0.98885,                0.99989,                 2.7016,               0.009307,               0.009307,               0.009307
                     23,                0.27815,                0.98868,                0.99989,                 2.7017,               0.009274,               0.009274,               0.009274
                     24,                0.28175,                0.98879,                0.99989,                 2.7016,               0.009241,               0.009241,               0.009241
                     25,                0.27789,                 0.9889,                0.99989,                 2.7015,               0.009208,               0.009208,               0.009208
                     26,                0.27479,                0.98902,                0.99989,                 2.7013,               0.009175,               0.009175,               0.009175
                     27,                0.27443,                0.98913,                0.99989,                 2.7012,               0.009142,               0.009142,               0.009142
                     28,                 0.2727,                0.98913,                0.99989,                 2.7013,               0.009109,               0.009109,               0.009109
                     29,                0.27514,                0.98924,                0.99994,                 2.7013,               0.009076,               0.009076,               0.009076
                     30,                0.27163,                0.98936,                0.99994,                 2.7012,               0.009043,               0.009043,               0.009043
                     31,                0.27435,                0.98947,                0.99994,                  2.701,                0.00901,                0.00901,                0.00901
                     32,                0.26891,                 0.9893,                0.99994,                  2.701,               0.008977,               0.008977,               0.008977
                     33,                0.27042,                0.98936,                0.99994,                 2.7009,               0.008944,               0.008944,               0.008944
                     34,                0.27179,                0.98947,                0.99994,                 2.7009,               0.008911,               0.008911,               0.008911
                     35,                0.27265,                0.98924,                0.99994,                 2.7008,               0.008878,               0.008878,               0.008878
                     36,                 0.2627,                0.98924,                0.99994,                 2.7007,               0.008845,               0.008845,               0.008845
                     37,                0.26977,                0.98941,                0.99994,                 2.7007,               0.008812,               0.008812,               0.008812
                     38,                0.27203,                 0.9897,                0.99994,                 2.7007,               0.008779,               0.008779,               0.008779
                     39,                0.26294,                 0.9897,                0.99994,                 2.7007,               0.008746,               0.008746,               0.008746
                     40,                0.26349,                 0.9897,                0.99994,                 2.7005,               0.008713,               0.008713,               0.008713
                     41,                0.26697,                0.98936,                0.99994,                 2.7005,                0.00868,                0.00868,                0.00868
                     42,                0.26279,                0.98964,                0.99994,                 2.7002,               0.008647,               0.008647,               0.008647
                     43,                0.26148,                0.98987,                0.99994,                 2.7001,               0.008614,               0.008614,               0.008614
                     44,                0.25724,                0.98953,                0.99994,                 2.7001,               0.008581,               0.008581,               0.008581
                     45,                0.26218,                0.98976,                0.99994,                 2.7001,               0.008548,               0.008548,               0.008548
                     46,                0.26143,                 0.9893,                0.99994,                 2.7001,               0.008515,               0.008515,               0.008515
                     47,                0.25688,                0.98941,                0.99994,                 2.7001,               0.008482,               0.008482,               0.008482
                     48,                0.25916,                0.98947,                0.99994,                 2.7001,               0.008449,               0.008449,               0.008449
                     49,                0.25918,                0.98953,                0.99994,                    2.7,               0.008416,               0.008416,               0.008416
                     50,                0.25954,                 0.9893,                0.99994,                 2.6998,               0.008383,               0.008383,               0.008383
                     51,                 0.2546,                0.98947,                0.99994,                 2.6998,                0.00835,                0.00835,                0.00835
                     52,                  0.259,                 0.9897,                0.99994,                 2.6996,               0.008317,               0.008317,               0.008317
                     53,                0.24588,                 0.9897,                0.99994,                 2.6994,               0.008284,               0.008284,               0.008284
                     54,                0.24971,                0.98976,                0.99994,                 2.6994,               0.008251,               0.008251,               0.008251
                     55,                0.25172,                0.98981,                0.99994,                 2.6994,               0.008218,               0.008218,               0.008218
                     56,                0.24984,                 0.9897,                0.99994,                 2.6996,               0.008185,               0.008185,               0.008185
                     57,                0.25029,                0.98987,                0.99994,                 2.6996,               0.008152,               0.008152,               0.008152
                     58,                0.24853,                0.98998,                0.99994,                 2.6994,               0.008119,               0.008119,               0.008119
                     59,                0.24603,                0.99004,                0.99994,                 2.6993,               0.008086,               0.008086,               0.008086
                     60,                0.25263,                0.98993,                0.99994,                 2.6993,               0.008053,               0.008053,               0.008053
                     61,                0.24758,                0.98981,                0.99994,                 2.6995,                0.00802,                0.00802,                0.00802
                     62,                0.25077,                0.99021,                0.99994,                 2.6994,               0.007987,               0.007987,               0.007987
                     63,                0.24419,                0.99021,                0.99994,                 2.6993,               0.007954,               0.007954,               0.007954
                     64,                0.24366,                0.99033,                0.99994,                  2.699,               0.007921,               0.007921,               0.007921
                     65,                0.24685,                 0.9901,                0.99994,                 2.6989,               0.007888,               0.007888,               0.007888
                     66,                0.24004,                0.99015,                0.99989,                 2.6989,               0.007855,               0.007855,               0.007855
                     67,                0.24127,                0.99021,                0.99989,                 2.6987,               0.007822,               0.007822,               0.007822
                     68,                 0.2439,                0.99033,                0.99989,                 2.6987,               0.007789,               0.007789,               0.007789
                     69,                0.23912,                0.98998,                0.99989,                 2.6987,               0.007756,               0.007756,               0.007756
                     70,                0.24004,                0.98981,                0.99994,                  2.699,               0.007723,               0.007723,               0.007723
                     71,                0.23821,                0.98987,                0.99994,                 2.6987,                0.00769,                0.00769,                0.00769
                     72,                0.24112,                0.98976,                0.99994,                 2.6987,               0.007657,               0.007657,               0.007657
                     73,                0.24082,                0.98947,                0.99994,                 2.6986,               0.007624,               0.007624,               0.007624
                     74,                0.24294,                 0.9897,                0.99994,                 2.6985,               0.007591,               0.007591,               0.007591
                     75,                0.23661,                 0.9897,                0.99994,                 2.6984,               0.007558,               0.007558,               0.007558
                     76,                0.23234,                0.98998,                0.99994,                 2.6984,               0.007525,               0.007525,               0.007525
                     77,                0.23104,                0.99004,                0.99994,                 2.6982,               0.007492,               0.007492,               0.007492
                     78,                0.23488,                0.99015,                0.99994,                 2.6981,               0.007459,               0.007459,               0.007459
                     79,                0.22981,                0.99015,                0.99994,                 2.6981,               0.007426,               0.007426,               0.007426
                     80,                0.23216,                 0.9901,                0.99994,                 2.6979,               0.007393,               0.007393,               0.007393
                     81,                0.23302,                0.99015,                0.99994,                 2.6979,                0.00736,                0.00736,                0.00736
                     82,                0.23096,                0.99038,                0.99994,                 2.6978,               0.007327,               0.007327,               0.007327
                     83,                0.22888,                0.99061,                0.99994,                 2.6976,               0.007294,               0.007294,               0.007294
                     84,                0.23077,                0.99067,                0.99994,                 2.6974,               0.007261,               0.007261,               0.007261
                     85,                0.22864,                0.99089,                0.99994,                 2.6978,               0.007228,               0.007228,               0.007228
                     86,                0.23366,                0.99067,                0.99994,                 2.6974,               0.007195,               0.007195,               0.007195
                     87,                0.22334,                0.99067,                0.99994,                 2.6973,               0.007162,               0.007162,               0.007162
                     88,                 0.2243,                0.99055,                0.99989,                 2.6973,               0.007129,               0.007129,               0.007129
                     89,                0.22479,                0.99067,                0.99989,                 2.6971,               0.007096,               0.007096,               0.007096
                     90,                0.22676,                0.99101,                0.99989,                 2.6971,               0.007063,               0.007063,               0.007063
                     91,                0.22198,                0.99078,                0.99994,                 2.6969,                0.00703,                0.00703,                0.00703
                     92,                0.22219,                0.99124,                0.99994,                 2.6969,               0.006997,               0.006997,               0.006997
                     93,                0.21774,                0.99101,                0.99994,                 2.6969,               0.006964,               0.006964,               0.006964
                     94,                0.21803,                0.99118,                0.99994,                 2.6968,               0.006931,               0.006931,               0.006931
                     95,                0.22244,                0.99095,                0.99994,                 2.6969,               0.006898,               0.006898,               0.006898
                     96,                0.22535,                0.99078,                0.99994,                 2.6969,               0.006865,               0.006865,               0.006865
                     97,                0.22089,                0.99061,                0.99994,                 2.6967,               0.006832,               0.006832,               0.006832
                     98,                0.21681,                0.99067,                0.99994,                 2.6967,               0.006799,               0.006799,               0.006799
                     99,                0.22049,                0.99055,                0.99994,                 2.6966,               0.006766,               0.006766,               0.006766
                    100,                0.21882,                0.99055,                0.99994,                 2.6967,               0.006733,               0.006733,               0.006733
                    101,                0.21423,                0.99078,                0.99994,                 2.6966,                 0.0067,                 0.0067,                 0.0067
